CO5,51.8152485,0.8199292
CO6,51.9252061,0.7920011
CO7,51.8816629,1.0052818
CO8,51.9733754,0.7656644
CO9,51.9689789,0.6094407
CR0,51.3732242,-0.0775432
CR2,51.3480184,-0.0820678
CR3,51.2881312,-0.0824599
CR4,51.4043894,-0.1591591
CR5,51.311096,-0.1414477
CR6,51.3092312,-0.0527574
CR7,51.3991799,-0.1067344
CR8,51.3319133,-0.1138248
CR9,51.3740708,-0.098286
CT1,51.2776176,1.0859171
CT10,51.3631369,1.4294367
CT11,51.3360593,1.4132445
CT12,51.3433748,1.369083
CT13,51.2664408,1.327004
CT14,51.2167502,1.3854115
CT15,51.1725483,1.2818765
CT16,51.1421367,1.2992504
CT17,51.1291169,1.2937687
CT18,51.1156399,1.1492879
CT19,51.0890794,1.1679444
CT2,51.2936699,1.0799396
CT20,51.0798258,1.1630593
CT21,51.0725975,1.0760693
CT3,51.2768265,1.2113391
CT4,51.2238425,1.0647403
CT5,51.3534291,1.0349292
CT6,51.3644106,1.1295235
CT7,51.3704017,1.2964069
CT8,51.3799305,1.3366875
CT9,51.3833635,1.389298
DA1,51.4480982,0.209464
DA10,51.4417805,0.3049871
DA11,51.4344917,0.3506663
DA12,51.4278035,0.3871907
DA13,51.3784991,0.3518275
DA14,51.4250037,0.1117751
DA15,51.4414641,0.0981804
DA16,51.4648617,0.1062654
DA17,51.4861908,0.1491035
DA18,51.4942848,0.1364966
DA2,51.4320776,0.2331447
DA3,51.3841204,0.3083751
DA4,51.3885873,0.232219
DA5,51.4406947,0.1461798
DA6,51.4551736,0.1388193
DA7,51.4656011,0.1459735
DA8,51.4757724,0.1758771
DA9,51.4481337,0.2783186
E1,51.5173859,-0.0595023
E10,51.5679608,-0.0143353
E11,51.5686864,0.0135501
E12,51.5507498,0.0529473
E13,51.5278271,0.0267009
E14,51.5061699,-0.0184998
E15,51.5402208,0.0032141
E16,51.5105927,0.0289721
E17,51.5869039,-0.0207805
E18,51.5927827,0.0249672
E2,51.5296098,-0.062627
E20,51.5465858,-0.0100095
E3,51.527941,-0.0252696
E4,51.6218323,-0.0057248
E5,51.5588861,-0.0537874
E6,51.5264995,0.053874
E7,51.5471369,0.027572
E8,51.5436904,-0.0661452
E9,51.5440387,-0.0430441
